PeriodEnd,PeriodStart,Period,Dhi,Dni,Ebh,Ghi
2010-12-31T02:00:00Z,2010-12-31T01:00:00Z,PT60M,0,0,0,0
2010-12-31T03:00:00Z,2010-12-31T02:00:00Z,PT60M,0,0,0,0
2010-12-31T04:00:00Z,2010-12-31T03:00:00Z,PT60M,0,0,0,0
2010-12-31T05:00:00Z,2010-12-31T04:00:00Z,PT60M,0,0,0,0
2010-12-31T06:00:00Z,2010-12-31T05:00:00Z,PT60M,0,0,0,0
2010-12-31T07:00:00Z,2010-12-31T06:00:00Z,PT60M,0,0,0,0
2010-12-31T08:00:00Z,2010-12-31T07:00:00Z,PT60M,0,0,0,0
2010-12-31T09:00:00Z,2010-12-31T08:00:00Z,PT60M,10,2,0,10
2010-12-31T10:00:00Z,2010-12-31T09:00:00Z,PT60M,34,0,0,34
2010-12-31T11:00:00Z,2010-12-31T10:00:00Z,PT60M,49,0,0,49
2010-12-31T12:00:00Z,2010-12-31T11:00:00Z,PT60M,47,0,0,47
2010-12-31T13:00:00Z,2010-12-31T12:00:00Z,PT60M,74,0,0,74
2010-12-31T14:00:00Z,2010-12-31T13:00:00Z,PT60M,47,0,0,47
2010-12-31T15:00:00Z,2010-12-31T14:00:00Z,PT60M,27,0,0,27
2010-12-31T16:00:00Z,2010-12-31T15:00:00Z,PT60M,8,0,0,8
2010-12-31T17:00:00Z,2010-12-31T16:00:00Z,PT60M,0,0,0,0
2010-12-31T18:00:00Z,2010-12-31T17:00:00Z,PT60M,0,0,0,0
2010-12-31T19:00:00Z,2010-12-31T18:00:00Z,PT60M,0,0,0,0
2010-12-31T20:00:00Z,2010-12-31T19:00:00Z,PT60M,0,0,0,0
2010-12-31T21:00:00Z,2010-12-31T20:00:00Z,PT60M,0,0,0,0
2010-12-31T22:00:00Z,2010-12-31T21:00:00Z,PT60M,0,0,0,0
2010-12-31T23:00:00Z,2010-12-31T22:00:00Z,PT60M,0,0,0,0
2011-01-01T00:00:00Z,2010-12-31T23:00:00Z,PT60M,0,0,0,0
2011-01-01T01:00:00Z,2011-01-01T00:00:00Z,PT60M,0,0,0,0
2011-01-01T02:00:00Z,2011-01-01T01:00:00Z,PT60M,0,0,0,0
2011-01-01T03:00:00Z,2011-01-01T02:00:00Z,PT60M,0,0,0,0
2011-01-01T04:00:00Z,2011-01-01T03:00:00Z,PT60M,0,0,0,0
2011-01-01T05:00:00Z,2011-01-01T04:00:00Z,PT60M,0,0,0,0
2011-01-01T06:00:00Z,2011-01-01T05:00:00Z,PT60M,0,0,0,0
2011-01-01T07:00:00Z,2011-01-01T06:00:00Z,PT60M,0,0,0,0
2011-01-01T08:00:00Z,2011-01-01T07:00:00Z,PT60M,0,0,0,0
2011-01-01T09:00:00Z,2011-01-01T08:00:00Z,PT60M,10,0,0,10
2011-01-01T10:00:00Z,2011-01-01T09:00:00Z,PT60M,19,0,0,19
2011-01-01T11:00:00Z,2011-01-01T10:00:00Z,PT60M,44,148,35,79
2011-01-01T12:00:00Z,2011-01-01T11:00:00Z,PT60M,65,2,0,66
2011-01-01T13:00:00Z,2011-01-01T12:00:00Z,PT60M,48,0,0,48
2011-01-01T14:00:00Z,2011-01-01T13:00:00Z,PT60M,67,0,0,67
2011-01-01T15:00:00Z,2011-01-01T14:00:00Z,PT60M,40,0,0,40
2011-01-01T16:00:00Z,2011-01-01T15:00:00Z,PT60M,11,0,0,11
2011-01-01T17:00:00Z,2011-01-01T16:00:00Z,PT60M,0,0,0,0
2011-01-01T18:00:00Z,2011-01-01T17:00:00Z,PT60M,0,0,0,0
2011-01-01T19:00:00Z,2011-01-01T18:00:00Z,PT60M,0,0,0,0
2011-01-01T20:00:00Z,2011-01-01T19:00:00Z,PT60M,0,0,0,0
2011-01-01T21:00:00Z,2011-01-01T20:00:00Z,PT60M,0,0,0,0
2011-01-01T22:00:00Z,2011-01-01T21:00:00Z,PT60M,0,0,0,0
2011-01-01T23:00:00Z,2011-01-01T22:00:00Z,PT60M,0,0,0,0
2011-01-02T00:00:00Z,2011-01-01T23:00:00Z,PT60M,0,0,0,0
2011-01-02T01:00:00Z,2011-01-02T00:00:00Z,PT60M,0,0,0,0
2011-01-02T02:00:00Z,2011-01-02T01:00:00Z,PT60M,0,0,0,0
2011-01-02T03:00:00Z,2011-01-02T02:00:00Z,PT60M,0,0,0,0
2011-01-02T04:00:00Z,2011-01-02T03:00:00Z,PT60M,0,0,0,0
2011-01-02T05:00:00Z,2011-01-02T04:00:00Z,PT60M,0,0,0,0
2011-01-02T06:00:00Z,2011-01-02T05:00:00Z,PT60M,0,0,0,0
2011-01-02T07:00:00Z,2011-01-02T06:00:00Z,PT60M,0,0,0,0
2011-01-02T08:00:00Z,2011-01-02T07:00:00Z,PT60M,0,0,0,0
2011-01-02T09:00:00Z,2011-01-02T08:00:00Z,PT60M,13,91,8,21
2011-01-02T10:00:00Z,2011-01-02T09:00:00Z,PT60M,48,381,54,101
2011-01-02T11:00:00Z,2011-01-02T10:00:00Z,PT60M,101,4,1,102
2011-01-02T12:00:00Z,2011-01-02T11:00:00Z,PT60M,87,0,0,87
2011-01-02T13:00:00Z,2011-01-02T12:00:00Z,PT60M,102,0,0,102
2011-01-02T14:00:00Z,2011-01-02T13:00:00Z,PT60M,100,0,0,100
2011-01-02T15:00:00Z,2011-01-02T14:00:00Z,PT60M,64,129,16,79
2011-01-02T16:00:00Z,2011-01-02T15:00:00Z,PT60M,17,134,12,29
