Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,163.45,142.76,20.69,0,172.47,490.28,125.24
2,144.13,122.11,22.02,0,173.51,606.17,242.35
3,130.17,107.77,22.4,0,146.74,520.41,262.92
4,75.87,47.68,28.19,0,64.18,312.8,584.61
5,121.66,96.93,24.74,0,111.91,382.64,299.65
6,100.62,72.24,28.38,0,77.56,260.65,471.49
7,75.98,49.56,26.42,0,53.64,175.47,358.87
8,79.35,52.01,27.34,0,54.8,193.69,458.28
9,77.03,49.78,27.25,0,55.45,189.8,372.9
10,62.95,37.18,25.77,0,45.83,222.8,509.06
11,112.14,91.31,20.82,0,97.52,287.05,224.55
12,141.19,119.67,21.52,0,159.18,504.98,199.09
Total,1284.54,989.0,295.54,0,1212.79,4146.74,4109.01
