Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,175.53,150.4,25.14,0,178.83,495.54,111.2
2,127.33,101.53,25.81,0,144.85,485.47,270.12
3,134.12,105.72,28.4,0,138.66,442.95,282.98
4,82.58,53.51,29.07,0,73.52,398.37,582.2
5,102.13,76.13,26.01,0,109.05,377.75,290.75
6,73.64,48.99,24.65,0,78.16,328.19,448.16
7,79.64,52.6,27.04,0,77.48,273.47,355.35
8,77.58,49.18,28.4,0,72.36,323.86,506.06
9,83.07,53.92,29.14,0,73.16,316.04,503.55
10,95.34,68.03,27.31,0,96.18,340.19,367.2
11,101.82,76.47,25.35,0,119.19,340.81,215.07
12,141.24,114.4,26.84,0,149.66,427.73,187.39
Total,1274.02,950.88,323.16,0,1311.1,4550.37,4120.03
