Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,227.14,208.67,18.47,0,186.3,495.54,194.59
2,179.62,163.69,15.93,0,168.88,485.47,472.7
3,169.5,152.64,16.85,0,163.78,442.95,495.22
4,136.43,121.26,15.17,0,128.13,398.37,1018.85
5,151.73,136.07,15.66,0,142.0,377.75,508.8
6,143.77,127.42,16.35,0,129.41,328.19,784.28
7,135.67,119.52,16.15,0,119.56,273.47,621.87
8,136.19,119.13,17.06,0,122.75,323.86,885.61
9,128.05,113.08,14.97,0,114.07,316.04,881.22
10,156.85,138.76,18.1,0,137.87,340.19,642.6
11,148.7,134.03,14.66,0,132.71,340.81,376.38
12,160.43,147.03,13.4,0,148.54,427.73,327.94
Total,1874.08,1681.3,192.77,0,1694.0,4550.37,7210.06
