Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,141.25,107.82,33.43,0,138.77,294.79,218.81
2,124.52,87.77,36.74,0,119.22,284.76,400.1
3,93.11,58.91,34.2,0,95.3,283.52,473.07
4,81.19,43.98,37.21,0,57.7,251.69,1038.69
5,88.1,52.43,35.66,0,70.43,244.76,543.87
6,87.81,54.81,33.0,0,72.27,237.76,815.82
7,81.43,43.26,38.17,0,61.44,228.2,637.17
8,70.19,37.04,33.15,0,54.64,225.76,738.61
9,70.38,32.72,37.66,0,52.8,209.29,681.24
10,58.75,25.81,32.95,0,37.31,216.03,918.77
11,112.0,76.13,35.86,0,104.84,231.46,372.91
12,115.06,80.91,34.15,0,109.44,246.47,329.16
Total,1123.79,701.59,422.18,0,974.16,2954.49,7168.22
