Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,75.58,49.34,26.24,0,45.04,227.75,546.08
2,86.51,61.73,24.78,0,58.19,218.6,357.84
3,97.7,69.56,28.14,0,61.55,213.73,485.54
4,78.11,56.43,21.68,0,59.2,232.65,305.55
5,78.33,54.23,24.1,0,53.05,222.37,455.78
6,77.08,51.54,25.55,0,52.52,216.53,386.94
7,69.66,41.01,28.65,0,40.69,217.32,522.22
8,108.99,87.64,21.35,0,81.86,235.82,237.0
9,126.11,105.7,20.41,0,101.26,262.05,202.0
10,124.63,106.29,18.33,0,102.9,279.3,177.15
11,153.31,136.71,16.6,0,133.26,309.62,82.67
12,108.38,86.84,21.54,0,94.33,264.11,239.62
Total,1184.39,907.02,277.37,0,883.85,2899.85,3998.39
