Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,218.64,191.97,26.67,0,164.5,232.34,67.64
2,179.54,154.55,24.99,0,153.83,228.76,120.32
3,194.46,168.55,25.9,0,162.01,209.21,86.51
4,179.86,155.4,24.45,0,146.24,213.75,125.48
5,195.57,169.3,26.27,0,161.03,232.91,122.32
6,199.75,173.58,26.17,0,162.19,219.5,96.9
7,223.48,197.07,26.41,0,183.39,243.45,54.07
8,227.3,202.3,25.0,0,181.91,260.34,45.88
9,214.11,191.55,22.55,0,177.57,275.82,30.68
10,221.55,197.94,23.61,0,181.69,280.16,40.51
11,216.3,192.12,24.17,0,178.44,276.2,56.77
12,214.67,191.12,23.55,0,178.47,279.07,46.59
Total,2485.23,2185.45,299.74,0,2031.27,2951.51,893.67
