Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,50.75,31.91,18.84,0,51.24,232.34,270.55
2,34.94,18.75,16.18,0,31.98,228.76,481.26
3,26.81,12.73,14.07,0,24.84,209.21,346.03
4,26.53,11.78,14.75,0,17.93,213.75,501.91
5,26.22,12.14,14.08,0,19.02,232.91,489.26
6,27.43,14.24,13.18,0,22.16,219.5,387.6
7,51.78,36.32,15.46,0,51.5,243.45,216.26
8,56.16,40.71,15.44,0,63.91,260.34,183.51
9,73.0,56.37,16.63,0,88.41,275.82,122.73
10,68.86,53.05,15.81,0,73.15,280.16,162.05
11,63.46,46.57,16.9,0,63.22,276.2,227.09
12,60.73,44.21,16.52,0,67.59,279.07,186.37
Total,566.67,378.78,187.86,0,574.95,2951.51,3574.62
